,OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape,geom
0,1,1,FS-1418826,FED,FS-FIRESTAT,FS,USCAPNF,Plumas National Forest,0511,Plumas National Forest,1,PNF-47,BJ8K,FOUNTAIN,,,,,,2005,2453403.5,33,1300,9.0,Miscellaneous,2453403.5,33.0,1730,0.1,A,40.03694444,-121.00583333,5.0,USFS,CA,63,063,Plumas,b'\x00\x01\xad\x10\x00\x00\xe8d\xc2\x92_@^\xc0\xe0\xc8l\x98\xba\x04D@\xe8d\xc2\x92_@^\xc0\xe0\xc8l\x98\xba\x04D@|\x01\x00\x00\x00\xe8d\xc2\x92_@^\xc0\xe0\xc8l\x98\xba\x04D@\xfe',POINT (-121.00583333 40.03694444000007)
1,2,2,FS-1418827,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,13,13,AAC0,PIGEON,,,,,,2004,2453137.5,133,0845,1.0,Lightning,2453137.5,133.0,1530,0.25,A,38.93305556,-120.40444444,5.0,USFS,CA,61,061,Placer,b'\x00\x01\xad\x10\x00\x00T\xb6\xeej\xe2\x19^\xc0\x90\xc6U]nwC@T\xb6\xeej\xe2\x19^\xc0\x90\xc6U]nwC@|\x01\x00\x00\x00T\xb6\xeej\xe2\x19^\xc0\x90\xc6U]nwC@\xfe',POINT (-120.40444444 38.93305556000007)
2,3,3,FS-1418835,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,27,021,A32W,SLACK,,,,,,2004,2453156.5,152,1921,5.0,Debris Burning,2453156.5,152.0,2024,0.1,A,38.98416667,-120.73555556,13.0,STATE OR PRIVATE,CA,17,017,El Dorado,"b'\x00\x01\xad\x10\x00\x00\xd0\xa5\xa0W\x13/^\xc0P\xbbf,\xf9}C@\xd0\xa5\xa0W\x13/^\xc0P\xbbf,\xf9}C@|\x01\x00\x00\x00\xd0\xa5\xa0W\x13/^\xc0P\xbbf,\xf9}C@\xfe'",POINT (-120.73555556 38.98416667000004)
3,4,4,FS-1418845,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,43,6,,DEER,,,,,,2004,2453184.5,180,1600,1.0,Lightning,2453189.5,185.0,1400,0.1,A,38.55916667,-119.91333333,5.0,USFS,CA,3,003,Alpine,b'\x00\x01\xad\x10\x00\x00\x94\xac\xa3\rt\xfa]\xc0\xe8T\x00\xc6\x92GC@\x94\xac\xa3\rt\xfa]\xc0\xe8T\x00\xc6\x92GC@|\x01\x00\x00\x00\x94\xac\xa3\rt\xfa]\xc0\xe8T\x00\xc6\x92GC@\xfe',POINT (-119.9133333299999 38.55916667000002)
4,5,5,FS-1418847,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,44,7,,STEVENOT,,,,,,2004,2453184.5,180,1600,1.0,Lightning,2453189.5,185.0,1200,0.1,A,38.55916667,-119.93305556,5.0,USFS,CA,3,003,Alpine,b'\x00\x01\xad\x10\x00\x00@\xe3\xaa.\xb7\xfb]\xc0\xe8T\x00\xc6\x92GC@@\xe3\xaa.\xb7\xfb]\xc0\xe8T\x00\xc6\x92GC@|\x01\x00\x00\x00@\xe3\xaa.\xb7\xfb]\xc0\xe8T\x00\xc6\x92GC@\xfe',POINT (-119.93305556 38.55916667000002)
5,6,6,FS-1418849,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,54,8,,HIDDEN,,,,,,2004,2453186.5,182,1800,1.0,Lightning,2453187.5,183.0,1600,0.1,A,38.63527778,-120.10361111,5.0,USFS,CA,5,005,Amador,b'\x00\x01\xad\x10\x00\x00\xf0<~\x90\xa1\x06^\xc0\xe0|D\xc8PQC@\xf0<~\x90\xa1\x06^\xc0\xe0|D\xc8PQC@|\x01\x00\x00\x00\xf0<~\x90\xa1\x06^\xc0\xe0|D\xc8PQC@\xfe',POINT (-120.10361111 38.63527778000002)
6,7,7,FS-1418851,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,58,9,,FORK,,,,,,2004,2453187.5,183,1800,1.0,Lightning,2453188.5,184.0,1400,0.1,A,38.68833333,-120.15333333,5.0,USFS,CA,17,017,El Dorado,b'\x00\x01\xad\x10\x00\x00$o\x996\xd0\t^\xc0h\x8czN\x1bXC@$o\x996\xd0\t^\xc0h\x8czN\x1bXC@|\x01\x00\x00\x00$o\x996\xd0\t^\xc0h\x8czN\x1bXC@\xfe',POINT (-120.15333333 38.68833333000003)
7,8,8,FS-1418854,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,0514,Shasta-Trinity National Forest,3,02,BK5X,SLATE,,,,,,2005,2453437.5,67,1300,5.0,Debris Burning,2453437.5,67.0,1600,0.8,B,40.96805556,-122.43388889,13.0,STATE OR PRIVATE,CA,,,,b'\x00\x01\xad\x10\x00\x00t)\xe8\xd5\xc4\x9b^\xc0\xa0t\x9d>\xe9{D@t)\xe8\xd5\xc4\x9b^\xc0\xa0t\x9d>\xe9{D@|\x01\x00\x00\x00t)\xe8\xd5\xc4\x9b^\xc0\xa0t\x9d>\xe9{D@\xfe',POINT (-122.43388889 40.96805556000004)
8,9,9,FS-1418856,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,0514,Shasta-Trinity National Forest,5,03,BLPQ,SHASTA,,,,,,2005,2453444.5,74,1200,5.0,Debris Burning,2453444.5,74.0,1700,1.0,B,41.23361111,-122.28333333,13.0,STATE OR PRIVATE,CA,,,,"b'\x00\x01\xad\x10\x00\x00\xdc\x8d\x1e""""\x92^\xc0X\xb7\x06\xf8\xe6\x9dD@\xdc\x8d\x1e""""\x92^\xc0X\xb7\x06\xf8\xe6\x9dD@|\x01\x00\x00\x00\xdc\x8d\x1e""""\x92^\xc0X\xb7\x06\xf8\xe6\x9dD@\xfe'",POINT (-122.2833333299999 41.23361111000003)
9,10,10,FS-1418859,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,61,10,,TANGLEFOOT,,,,,,2004,2453187.5,183,1800,1.0,Lightning,2453188.5,184.0,1800,0.1,A,38.54833333,-120.14916667,5.0,USFS,CA,5,005,Amador,b'\x00\x01\xad\x10\x00\x00dS\\\xf2\x8b\t^\xc0\x18\xd4[\xc9/FC@dS\\\xf2\x8b\t^\xc0\x18\xd4[\xc9/FC@|\x01\x00\x00\x00dS\\\xf2\x8b\t^\xc0\x18\xd4[\xc9/FC@\xfe',POINT (-120.1491666699999 38.54833333000005)
10,11,11,FS-1418861,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,64,11,,FORK #2,,,,,,2004,2453188.5,184,1830,1.0,Lightning,2453189.5,185.0,1900,0.1,A,38.69166667,-120.15972222,5.0,USFS,CA,17,017,El Dorado,b'\x00\x01\xad\x10\x00\x00\x0c\xd6\x8b\xe38\n^\xc0\x18\xb1\x8f\x88\x88XC@\x0c\xd6\x8b\xe38\n^\xc0\x18\xb1\x8f\x88\x88XC@|\x01\x00\x00\x00\x0c\xd6\x8b\xe38\n^\xc0\x18\xb1\x8f\x88\x88XC@\xfe',POINT (-120.15972222 38.69166667000007)
11,12,12,FS-1418863,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,71,14,,MOKE #2,,,,,,2004,2453188.5,184,1730,1.0,Lightning,2453189.5,185.0,2000,0.1,A,38.5275,-120.10611111,5.0,USFS,CA,5,005,Amador,b'\x00\x01\xad\x10\x00\x00L\xcc@\x86\xca\x06^\xc0\xf0Q\xb8\x1e\x85CC@L\xcc@\x86\xca\x06^\xc0\xf0Q\xb8\x1e\x85CC@|\x01\x00\x00\x00L\xcc@\x86\xca\x06^\xc0\xf0Q\xb8\x1e\x85CC@\xfe',POINT (-120.10611111 38.52750000000003)
12,13,13,FS-1418865,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,91,26,,WRIGHTS,,,,,,2004,2453251.5,247,1600,9.0,Miscellaneous,2453251.5,247.0,1630,0.1,A,38.78666667,-120.19333333,5.0,USFS,CA,17,017,El Dorado,b'\x00\x01\xad\x10\x00\x00\xe8d\xc2\x92_\x0c^\xc0p@R~\xb1dC@\xe8d\xc2\x92_\x0c^\xc0p@R~\xb1dC@|\x01\x00\x00\x00\xe8d\xc2\x92_\x0c^\xc0p@R~\xb1dC@\xfe',POINT (-120.19333333 38.78666667000005)
13,14,14,FS-1418872,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,99,21,,TIGER,,,,,,2004,2453276.5,272,1200,4.0,Campfire,2453276.5,272.0,1800,6.0,B,38.43333333,-120.51,14.0,MISSING/NOT SPECIFIED,CA,5,005,Amador,b'\x00\x01\xad\x10\x00\x00p=\n\xd7\xa3 ^\xc0\xf8Npww7C@p=\n\xd7\xa3 ^\xc0\xf8Npww7C@|\x01\x00\x00\x00p=\n\xd7\xa3 ^\xc0\xf8Npww7C@\xfe',POINT (-120.51 38.43333333000004)
14,15,15,FS-1418874,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,102,28,,BROWN,,,,,,2004,2453281.5,277,0630,1.0,Lightning,2453281.5,277.0,1500,0.2,A,38.67583333,-120.27972222,5.0,USFS,CA,17,017,El Dorado,b'\x00\x01\xad\x10\x00\x00P\xb7\x06\xf8\xe6\x11^\xc0\xd0\xf2\xe0\xb4\x81VC@P\xb7\x06\xf8\xe6\x11^\xc0\xd0\xf2\xe0\xb4\x81VC@|\x01\x00\x00\x00P\xb7\x06\xf8\xe6\x11^\xc0\xd0\xf2\xe0\xb4\x81VC@\xfe',POINT (-120.2797222199999 38.67583333000005)
15,16,16,FS-1418876,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,103,22,,SOPIAGO,,,,,,2004,2453281.5,277,0930,1.0,Lightning,2453281.5,277.0,1400,0.1,A,38.56416667,-120.54222222,5.0,USFS,CA,17,017,El Dorado,"b'\x00\x01\xad\x10\x00\x00 \x84\xd3\xc4\xb3""^\xc0`\x92\n\x9d6HC@ \x84\xd3\xc4\xb3""^\xc0`\x92\n\x9d6HC@|\x01\x00\x00\x00 \x84\xd3\xc4\xb3""^\xc0`\x92\n\x9d6HC@\xfe'",POINT (-120.54222222 38.56416667000008)
16,17,17,FS-1418878,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,109,23,,POWER,CA-ENF-017646,POWER,CA3850212028020041006,POWER,,2004,2453284.5,280,1415,2.0,Equipment Use,2453299.5,295.0,1000,16823.0,G,38.52333333,-120.21166667,5.0,USFS,CA,5,005,Amador,b'\x00\x01\xad\x10\x00\x00dS\\\xf2\x8b\r^\xc0\xe8\xa0(\x96\xfcBC@dS\\\xf2\x8b\r^\xc0\xe8\xa0(\x96\xfcBC@|\x01\x00\x00\x00dS\\\xf2\x8b\r^\xc0\xe8\xa0(\x96\xfcBC@\xfe',POINT (-120.2116666699999 38.52333333000007)
17,18,18,FS-1418881,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,111,35,BHA3,FREDS,CA-ENF-18044,FREDS,CA3878712031820041013,FREDS,,2004,2453291.5,287,1618,2.0,Equipment Use,2453295.5,291.0,1800,7700.0,G,38.78,-120.26,5.0,USFS,CA,17,017,El Dorado,b'\x00\x01\xad\x10\x00\x00p=\n\xd7\xa3\x10^\xc0\xa8p=\n\xd7cC@p=\n\xd7\xa3\x10^\xc0\xa8p=\n\xd7cC@|\x01\x00\x00\x00p=\n\xd7\xa3\x10^\xc0\xa8p=\n\xd7cC@\xfe',POINT (-120.26 38.78000000000003)
18,19,19,FS-1418884,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,115,22,,HARTLESS,,,,,,2004,2453329.5,325,2000,5.0,Debris Burning,2453330.5,326.0,1630,0.1,A,38.945,-120.41166667,13.0,STATE OR PRIVATE,CA,17,017,El Dorado,b'\x00\x01\xad\x10\x00\x004 )\xbfX\x1a^\xc00\\\x8f\xc2\xf5xC@4 )\xbfX\x1a^\xc00\\\x8f\xc2\xf5xC@|\x01\x00\x00\x004 )\xbfX\x1a^\xc00\\\x8f\xc2\xf5xC@\xfe',POINT (-120.41166667 38.94500000000005)
19,77,78,FS-1419054,FED,FS-FIRESTAT,FS,USCASRF,Six Rivers National Forest,0510,Six Rivers National Forest,9,53-03,BWP8,LINTO,,,,,,2005,2453548.5,178,1007,5.0,Debris Burning,2453548.5,178.0,1130,0.1,A,41.03722222,-123.53305556,5.0,USFS,CA,,,,b'\x00\x01\xad\x10\x00\x00\xa8I\x11\x95\x1d\xe2^\xc0\xd8\xca\x9c\xb2\xc3\x84D@\xa8I\x11\x95\x1d\xe2^\xc0\xd8\xca\x9c\xb2\xc3\x84D@|\x01\x00\x00\x00\xa8I\x11\x95\x1d\xe2^\xc0\xd8\xca\x9c\xb2\xc3\x84D@\xfe',POINT (-123.53305556 41.03722222000005)
20,88,89,FS-1419071,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,15,01,BP31,CANYON,,,,,,2005,2453484.5,114,0710,9.0,Miscellaneous,2453484.5,114.0,0745,0.1,A,34.17444444,-117.765,5.0,USFS,CA,,,,b'\x00\x01\xad\x10\x00\x00(\\\x8f\xc2\xf5p]\xc0xb\x062T\x16A@(\\\x8f\xc2\xf5p]\xc0xb\x062T\x16A@|\x01\x00\x00\x00(\\\x8f\xc2\xf5p]\xc0xb\x062T\x16A@\xfe',POINT (-117.765 34.17444444000006)
21,89,90,FS-1419073,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,64,03,BE8B,FOUNTAIN,,,,,,2005,2453554.5,184,1650,8.0,Children,2453554.5,184.0,1800,0.5,B,34.15388889,-117.84111111,14.0,MISSING/NOT SPECIFIED,CA,,,,b'\x00\x01\xad\x10\x00\x00$p\xb1\xc3\xd4u]\xc0P\xe2\x92\xa1\xb2\x13A@$p\xb1\xc3\xd4u]\xc0P\xe2\x92\xa1\xb2\x13A@|\x01\x00\x00\x00$p\xb1\xc3\xd4u]\xc0P\xe2\x92\xa1\xb2\x13A@\xfe',POINT (-117.84111111 34.15388889000008)
22,91,92,FS-1419077,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,4,2,BV7R,ROBIN,,,,,,2005,2453546.5,176,0905,5.0,Debris Burning,2453546.5,176.0,1332,0.1,A,38.98388889,-120.8025,13.0,STATE OR PRIVATE,CA,,,,b'\x00\x01\xad\x10\x00\x00\x8c\xc2\xf5(\\3^\xc0X\xb96\x12\xf0}C@\x8c\xc2\xf5(\\3^\xc0X\xb96\x12\xf0}C@|\x01\x00\x00\x00\x8c\xc2\xf5(\\3^\xc0X\xb96\x12\xf0}C@\xfe',POINT (-120.8025 38.98388889000006)
23,96,97,FS-1419089,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,0417,Humboldt-Toiyabe National Forest,1,M01,BEZ8,HOT SPRINGS,,,,,,2005,2453496.5,126,1145,5.0,Debris Burning,2453499.5,129.0,1330,0.1,A,38.70027778,-119.84055556,13.0,STATE OR PRIVATE,CA,3,003,Alpine,b'\x00\x01\xad\x10\x00\x00\xf0*\x8c\xa9\xcb\xf5]\xc0\xa0\x9b\xc9\xb3\xa2YC@\xf0*\x8c\xa9\xcb\xf5]\xc0\xa0\x9b\xc9\xb3\xa2YC@|\x01\x00\x00\x00\xf0*\x8c\xa9\xcb\xf5]\xc0\xa0\x9b\xc9\xb3\xa2YC@\xfe',POINT (-119.84055556 38.70027778000008)
24,97,98,FS-1419090,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,0417,Humboldt-Toiyabe National Forest,2,006,BZB0,SHINGLE,,,,,,2005,2453559.5,189,0015,7.0,Arson,2453559.5,189.0,0045,0.01,A,38.45361111,-119.45861111,5.0,USFS,CA,51,051,Mono,b'\x00\x01\xad\x10\x00\x00\x10\xc2i\xe2Y\xdd]\xc0\xb8F\xc9\xed\x0f:C@\x10\xc2i\xe2Y\xdd]\xc0\xb8F\xc9\xed\x0f:C@|\x01\x00\x00\x00\x10\xc2i\xe2Y\xdd]\xc0\xb8F\xc9\xed\x0f:C@\xfe',POINT (-119.45861111 38.45361111000005)
25,106,107,FS-1419113,FED,FS-FIRESTAT,FS,USCACNF,Cleveland National Forest,0502,Cleveland National Forest,9,523,BE0C,LOOKOUT,,,,,,2005,2453487.5,117,1700,9.0,Miscellaneous,2453487.5,117.0,1715,0.1,A,33.66666667,-117.37638889,13.0,STATE OR PRIVATE,CA,,,,"b'\x00\x01\xad\x10\x00\x00,Hm\xc1\x16X]\xc0\xe0}\\UU\xd5@@,Hm\xc1\x16X]\xc0\xe0}\\UU\xd5@@|\x01\x00\x00\x00,Hm\xc1\x16X]\xc0\xe0}\\UU\xd5@@\xfe'",POINT (-117.37638889 33.66666667000004)
26,107,108,FS-1419114,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,0417,Humboldt-Toiyabe National Forest,19,D2-12-05,BEZ8,DEVIL'S GATE,,,,,,2005,2453569.5,199,1600,1.0,Lightning,2453570.5,200.0,1800,0.1,A,38.35361111,-119.37805556,5.0,USFS,CA,51,051,Mono,b'\x00\x01\xad\x10\x00\x00T\x91\xf2\x0f2\xd8]\xc0\xe8y\xfc C-C@T\x91\xf2\x0f2\xd8]\xc0\xe8y\xfc C-C@|\x01\x00\x00\x00T\x91\xf2\x0f2\xd8]\xc0\xe8y\xfc C-C@\xfe',POINT (-119.37805556 38.35361111000003)
27,110,111,FS-1419130,FED,FS-FIRESTAT,FS,USCACNF,Cleveland National Forest,0502,Cleveland National Forest,21,527,BE0C,SADDLE,,,,,,2005,2453540.5,170,1500,2.0,Equipment Use,2453540.5,170.0,1505,10.0,C,33.71888889,-117.43361111,13.0,STATE OR PRIVATE,CA,,,,b'\x00\x01\xad\x10\x00\x00t(\xd0H\xc0[]\xc0\x08\x01\x18\x8d\x04\xdc@@t(\xd0H\xc0[]\xc0\x08\x01\x18\x8d\x04\xdc@@|\x01\x00\x00\x00t(\xd0H\xc0[]\xc0\x08\x01\x18\x8d\x04\xdc@@\xfe',POINT (-117.43361111 33.71888889000007)
28,111,112,FS-1419134,FED,FS-FIRESTAT,FS,USCASNF,Sierra National Forest,0515,Sierra National Forest,2,01,BGJ2,PETERSON,,,,,,2005,2453517.5,147,2015,2.0,Equipment Use,2453517.5,147.0,2058,0.1,A,37.04416667,-119.34388889,13.0,STATE OR PRIVATE,CA,,,,b'\x00\x01\xad\x10\x00\x00|\x00\x8cF\x02\xd6]\xc0\x98\x9c\xe1@\xa7\x85B@|\x00\x8cF\x02\xd6]\xc0\x98\x9c\xe1@\xa7\x85B@|\x01\x00\x00\x00|\x00\x8cF\x02\xd6]\xc0\x98\x9c\xe1@\xa7\x85B@\xfe',POINT (-119.34388889 37.04416667000004)
29,133,135,FS-1419180,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,0417,Humboldt-Toiyabe National Forest,4,HTF-918,BEZ8,WILLOW,,,,,,2005,2453538.5,168,1530,1.0,Lightning,2453538.5,168.0,2030,0.5,B,38.83972222,-119.88638889,5.0,USFS,CA,3,003,Alpine,b'\x00\x01\xad\x10\x00\x00\x9c\x85w\x98\xba\xf8]\xc0\xf8O\x88\x04|kC@\x9c\x85w\x98\xba\xf8]\xc0\xf8O\x88\x04|kC@|\x01\x00\x00\x00\x9c\x85w\x98\xba\xf8]\xc0\xf8O\x88\x04|kC@\xfe',POINT (-119.88638889 38.83972222000006)
30,147,150,FS-1419212,FED,FS-FIRESTAT,FS,USCASQF,Sequoia National Forest,0513,Sequoia National Forest,1,01,BE0P,DOGWOOD,,,,,,2005,2453492.5,122,1628,9.0,Miscellaneous,2453492.5,122.0,1700,0.1,A,35.76888889,-118.43527778,13.0,STATE OR PRIVATE,CA,,,,b'\x00\x01\xad\x10\x00\x00\xa0qU\x97\xdb\x9b]\xc0hg~\xf3j\xe2A@\xa0qU\x97\xdb\x9b]\xc0hg~\xf3j\xe2A@|\x01\x00\x00\x00\xa0qU\x97\xdb\x9b]\xc0hg~\xf3j\xe2A@\xfe',POINT (-118.43527778 35.76888889000003)
31,150,153,FS-1419231,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,0417,Humboldt-Toiyabe National Forest,21,D2-14-2005,B1MV,BUCKEYE,,,,,,2005,2453573.5,203,1600,1.0,Lightning,2453573.5,203.0,1955,0.1,A,38.22666667,-119.34666667,5.0,USFS,CA,51,051,Mono,b'\x00\x01\xad\x10\x00\x00\xd8\x90f\xc9/\xd6]\xc0(_\xd7i\x03\x1dC@\xd8\x90f\xc9/\xd6]\xc0(_\xd7i\x03\x1dC@|\x01\x00\x00\x00\xd8\x90f\xc9/\xd6]\xc0(_\xd7i\x03\x1dC@\xfe',POINT (-119.34666667 38.22666667000004)
32,153,156,FS-1419239,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,0417,Humboldt-Toiyabe National Forest,24,D2-17-2005,BEZ8,SUMMERS,,,,,,2005,2453572.5,202,1700,1.0,Lightning,2453572.5,202.0,1800,0.1,A,38.16888889,-119.31694444,5.0,USFS,CA,51,051,Mono,b'\x00\x01\xad\x10\x00\x00\xbc\x1cU\xd1H\xd4]\xc0\xa0\x9a\xb1&\x9e\x15C@\xbc\x1cU\xd1H\xd4]\xc0\xa0\x9a\xb1&\x9e\x15C@|\x01\x00\x00\x00\xbc\x1cU\xd1H\xd4]\xc0\xa0\x9a\xb1&\x9e\x15C@\xfe',POINT (-119.31694444 38.16888889000006)
33,155,158,FS-1419243,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,0507,Los Padres National Forest,1,001,BKB6,APACHE,,,,,,2005,2453411.5,41,1337,5.0,Debris Burning,2453411.5,41.0,1607,3.0,B,34.74833333,-119.41027778,13.0,STATE OR PRIVATE,CA,,,,b'\x00\x01\xad\x10\x00\x00\x04\xd8\xbb\xfdA\xda]\xc0\xb0m\xf5b\xc9_A@\x04\xd8\xbb\xfdA\xda]\xc0\xb0m\xf5b\xc9_A@|\x01\x00\x00\x00\x04\xd8\xbb\xfdA\xda]\xc0\xb0m\xf5b\xc9_A@\xfe',POINT (-119.4102777799999 34.74833333000004)
34,156,159,FS-1419245,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,0507,Los Padres National Forest,2,002,BKD8,TREEBONE,,,,,,2005,2453415.5,45,1640,4.0,Campfire,2453415.5,45.0,1900,0.1,A,35.88361111,-121.45694444,13.0,STATE OR PRIVATE,CA,,,,b'\x00\x01\xad\x10\x00\x00\xe4x\xe4\x93>]^\xc0\x90\xea9+\x1a\xf1A@\xe4x\xe4\x93>]^\xc0\x90\xea9+\x1a\xf1A@|\x01\x00\x00\x00\xe4x\xe4\x93>]^\xc0\x90\xea9+\x1a\xf1A@\xfe',POINT (-121.45694444 35.88361111000006)
35,157,160,FS-1419246,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,0507,Los Padres National Forest,4,004,BS1X,MARBLE,,,,,,2005,2453518.5,148,1700,4.0,Campfire,2453518.5,148.0,1740,0.1,A,36.21805556,-121.49916667,5.0,USFS,CA,,,,b'\x00\x01\xad\x10\x00\x00\xcc\xb9\xc2X\xf2_^\xc0\xa0t\x9d>\xe9\x1bB@\xcc\xb9\xc2X\xf2_^\xc0\xa0t\x9d>\xe9\x1bB@|\x01\x00\x00\x00\xcc\xb9\xc2X\xf2_^\xc0\xa0t\x9d>\xe9\x1bB@\xfe',POINT (-121.49916667 36.21805556000004)
36,158,161,FS-1419247,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,0507,Los Padres National Forest,3,003,BSS8,WHITE,,,,,,2005,2453510.5,140,1915,2.0,Equipment Use,2453510.5,140.0,2100,0.1,A,36.44833333,-121.58277778,5.0,USFS,CA,,,,"b'\x00\x01\xad\x10\x00\x00\xdc{,;Le^\xc0H\x07\x8f\xfcb9B@\xdc{,;Le^\xc0H\x07\x8f\xfcb9B@|\x01\x00\x00\x00\xdc{,;Le^\xc0H\x07\x8f\xfcb9B@\xfe'",POINT (-121.58277778 36.44833333000003)
37,159,162,FS-1419248,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,0417,Humboldt-Toiyabe National Forest,25,D2-18-2005,B1LU,SECRET,,,,,,2005,2453573.5,203,1000,1.0,Lightning,2453574.5,204.0,1500,0.5,B,38.29444444,-119.54,5.0,USFS,CA,51,051,Mono,b'\x00\x01\xad\x10\x00\x00\xc0\xf5(\\\x8f\xe2]\xc0\x08%\xfcZ\xb0%C@\xc0\xf5(\\\x8f\xe2]\xc0\x08%\xfcZ\xb0%C@|\x01\x00\x00\x00\xc0\xf5(\\\x8f\xe2]\xc0\x08%\xfcZ\xb0%C@\xfe',POINT (-119.54 38.29444444000006)
38,160,163,FS-1419249,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,0417,Humboldt-Toiyabe National Forest,22,D2 15 2005,B1TF,EAGLE,,,,,,2005,2453575.5,205,1630,1.0,Lightning,2453575.5,205.0,1745,0.1,A,38.22222222,-119.38694444,5.0,USFS,CA,51,051,Mono,b'\x00\x01\xad\x10\x00\x00\xd0\xca\x9c\xb2\xc3\xd8]\xc0 \xac\x17\xc7q\x1cC@\xd0\xca\x9c\xb2\xc3\xd8]\xc0 \xac\x17\xc7q\x1cC@|\x01\x00\x00\x00\xd0\xca\x9c\xb2\xc3\xd8]\xc0 \xac\x17\xc7q\x1cC@\xfe',POINT (-119.38694444 38.22222222000005)
39,161,164,FS-1419260,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,0417,Humboldt-Toiyabe National Forest,27,D2-20-2005,B09V,DEVIL,,,,,,2005,2453571.5,201,1000,1.0,Lightning,2453572.5,202.0,1136,0.1,A,38.3575,-119.36111111,5.0,USFS,CA,51,051,Mono,b'\x00\x01\xad\x10\x00\x00\x04\xeb\xc5q\x1c\xd7]\xc0\x00)\\\x8f\xc2-C@\x04\xeb\xc5q\x1c\xd7]\xc0\x00)\\\x8f\xc2-C@|\x01\x00\x00\x00\x04\xeb\xc5q\x1c\xd7]\xc0\x00)\\\x8f\xc2-C@\xfe',POINT (-119.36111111 38.35750000000007)
