,OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape,geom
1543,10258,10306,FS-1437698,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,0505,Klamath National Forest,120,38,B6UQ,BACKWOODS,,,,,,2006,2453955.5,220,1230,1.0,Lightning,2453958.5,223.0,1420,0.1,A,41.60027778,-123.065,5.0,USFS,CA,93,093,Siskiyou,b'\x00\x01\xad\x10\x00\x00X\x8f\xc2\xf5(\xc4^\xc0\xd0\xce\xfc\xe6\xd5\xccD@X\x8f\xc2\xf5(\xc4^\xc0\xd0\xce\xfc\xe6\xd5\xccD@|\x01\x00\x00\x00X\x8f\xc2\xf5(\xc4^\xc0\xd0\xce\xfc\xe6\xd5\xccD@\xfe',POINT (-123.0649999999999 41.60027778000006)
1544,10267,10315,FS-1437708,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,165,112,B7RL,MESCAL,,,,,,2006,2453951.5,216,2041,9.0,Miscellaneous,2453952.5,217.0,0100,21.0,C,34.43888889,-117.71805556,14.0,MISSING/NOT SPECIFIED,CA,37,037,Los Angeles,b'\x00\x01\xad\x10\x00\x00L\xbaN\x9f\xf4m]\xc0`\x90\xda\x82-8A@L\xbaN\x9f\xf4m]\xc0`\x90\xda\x82-8A@|\x01\x00\x00\x00L\xbaN\x9f\xf4m]\xc0`\x90\xda\x82-8A@\xfe',POINT (-117.71805556 34.43888889000004)
1545,10269,10317,FS-1437710,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,170,115,B7RL,CENTER,,,,,,2006,2453957.5,222,1149,9.0,Miscellaneous,2453957.5,222.0,1230,0.3,B,34.71972222,-118.79777778,14.0,MISSING/NOT SPECIFIED,CA,37,037,Los Angeles,b'\x00\x01\xad\x10\x00\x00\xd4\xa4\x88\xca\x0e\xb3]\xc0h\x8d\x92\xdb\x1f\\A@\xd4\xa4\x88\xca\x0e\xb3]\xc0h\x8d\x92\xdb\x1f\\A@|\x01\x00\x00\x00\xd4\xa4\x88\xca\x0e\xb3]\xc0h\x8d\x92\xdb\x1f\\A@\xfe',POINT (-118.79777778 34.71972222000005)
1546,10274,10322,FS-1437716,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,0505,Klamath National Forest,119,37,B6UQ,YELLOW DOG,,,,,,2006,2453960.5,225,1045,1.0,Lightning,2453960.5,225.0,1400,0.2,A,41.39194444,-123.04777778,5.0,USFS,CA,93,093,Siskiyou,b'\x00\x01\xad\x10\x00\x00\xd4\xa4\x88\xca\x0e\xc3^\xc0\x18\xd3C<+\xb2D@\xd4\xa4\x88\xca\x0e\xc3^\xc0\x18\xd3C<+\xb2D@|\x01\x00\x00\x00\xd4\xa4\x88\xca\x0e\xc3^\xc0\x18\xd3C<+\xb2D@\xfe',POINT (-123.04777778 41.39194444000003)
1547,10275,10323,FS-1437717,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,0505,Klamath National Forest,121,35,B6UQ,YELLOW JACKET,,,,,,2006,2453955.5,220,1500,1.0,Lightning,2453956.5,221.0,1000,0.1,A,41.28583333,-123.30833333,5.0,USFS,CA,93,093,Siskiyou,"b""\x00\x01\xad\x10\x00\x00x'\xb8\xbb\xbb\xd3^\xc0\x80:\xc2/\x96\xa4D@x'\xb8\xbb\xbb\xd3^\xc0\x80:\xc2/\x96\xa4D@|\x01\x00\x00\x00x'\xb8\xbb\xbb\xd3^\xc0\x80:\xc2/\x96\xa4D@\xfe""",POINT (-123.30833333 41.28583333000006)
1548,10276,10324,FS-1437718,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,0505,Klamath National Forest,122,36,B6UQ,TAYLOR,,,,,,2006,2453955.5,220,1530,1.0,Lightning,2453956.5,221.0,0452,0.2,A,41.40527778,-123.15027778,5.0,USFS,CA,93,093,Siskiyou,b'\x00\x01\xad\x10\x00\x00\x94\x9a\xb1&\x9e\xc9^\xc0\xa8rm$\xe0\xb3D@\x94\x9a\xb1&\x9e\xc9^\xc0\xa8rm$\xe0\xb3D@|\x01\x00\x00\x00\x94\x9a\xb1&\x9e\xc9^\xc0\xa8rm$\xe0\xb3D@\xfe',POINT (-123.15027778 41.40527778000006)
1549,10280,10328,FS-1437722,FED,FS-FIRESTAT,FS,USCATNF,Tahoe National Forest,0517,Tahoe National Forest,37,AR-4,CY6L,ONION,,,,,,2006,2453932.5,197,1500,4.0,Campfire,2453932.5,197.0,1559,0.1,A,39.25055556,-120.635,5.0,USFS,CA,61,061,Placer,b'\x00\x01\xad\x10\x00\x00p=\n\xd7\xa3(^\xc0\x00\x04`4\x12\xa0C@p=\n\xd7\xa3(^\xc0\x00\x04`4\x12\xa0C@|\x01\x00\x00\x00p=\n\xd7\xa3(^\xc0\x00\x04`4\x12\xa0C@\xfe',POINT (-120.635 39.25055556000007)
1550,10285,10333,FS-1437729,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,0417,Humboldt-Toiyabe National Forest,58,D2-25-2006,B6UJ,WOLF 3,,,,,,2006,2453952.5,217,0730,1.0,Lightning,2453952.5,217.0,0830,0.1,A,38.36944444,-119.53805556,5.0,USFS,CA,51,051,Mono,b'\x00\x01\xad\x10\x00\x00`h\x96\x80o\xe2]\xc0\xa0\xbe\x95\xf4I/C@`h\x96\x80o\xe2]\xc0\xa0\xbe\x95\xf4I/C@|\x01\x00\x00\x00`h\x96\x80o\xe2]\xc0\xa0\xbe\x95\xf4I/C@\xfe',POINT (-119.53805556 38.36944444000005)
1551,10291,10339,FS-1437742,FED,FS-FIRESTAT,FS,USCATNF,Tahoe National Forest,0517,Tahoe National Forest,36,AR-3,CXU9,FRENCH,,,,,,2006,2453926.5,191,1319,4.0,Campfire,2453926.5,191.0,1326,0.1,A,39.11888889,-120.4175,5.0,USFS,CA,61,061,Placer,b'\x00\x01\xad\x10\x00\x00\x1c\x85\xebQ\xb8\x1a^\xc084K\xc07\x8fC@\x1c\x85\xebQ\xb8\x1a^\xc084K\xc07\x8fC@|\x01\x00\x00\x00\x1c\x85\xebQ\xb8\x1a^\xc084K\xc07\x8fC@\xfe',POINT (-120.4175 39.11888889000005)
1552,10294,10342,FS-1437747,FED,FS-FIRESTAT,FS,USCALNF,Lassen National Forest,0506,Lassen National Forest,36,010,B6UR,JENNY,,,,,,2006,2453923.5,188,1600,1.0,Lightning,2453923.5,188.0,2015,0.25,A,40.81694444,-121.43361111,5.0,USFS,CA,35,035,Lassen,b'\x00\x01\xad\x10\x00\x00t(\xd0H\xc0[^\xc0\x809\xaa\xa2\x91hD@t(\xd0H\xc0[^\xc0\x809\xaa\xa2\x91hD@|\x01\x00\x00\x00t(\xd0H\xc0[^\xc0\x809\xaa\xa2\x91hD@\xfe',POINT (-121.43361111 40.81694444000004)
